Document Title,Abstract,Year,PDF Link,label,doi,nCites,authorCount,aggregationType
Prenatal and early life exposure to air pollution induced hippocampal vascular leakage and impaired neurogenesis in association with behavioral deficits,"AbstractExposure to traffic-related air pollution (TRAP) is associated with a range of neurodevelopmental disorders in human populations. In rodent models, prenatal TRAP exposure increased depressive behaviors and increased brain microglial activity. To identify cellular mechanisms, we examined adult neurogenesis and the blood–brain barrier (BBB) in relation to cognition and motivated behaviors in rats that were exposed to a nano-sized TRAP subfraction from gestation into adulthood. At age 5 months, exposed male rats had 70% fewer newly generated neurons in the dentate gyrus (DG) of the hippocampus. Microglia were activated in DG and CA1 subfields (35% more Iba1). The BBB was altered, with a 75% decrease of the tight junction protein ZO-1 in the CA1 layer, and twofold more iron deposits, a marker of microhemorrhages. The exposed rats had impaired contextual memory (novel object in context), reduced food-seeking behavior, and increased depressive behaviors (forced swim). Deficits of de novo neurogenesis were inversely correlated with depressive behavior, whereas increased microbleeds were inversely correlated with deficits in contextual memory. These findings give the first evidence that prenatal and early life exposure to TRAP impairs adult hippocampal neurogenesis and increases microbleeds in association with behavioral deficits.",2018,https://doi.org/10.1038/s41398-018-0317-1,no,10.1038/s41398-018-0317-1,104,9,undetermined
The role of the dorsal dentate gyrus in object and object-context recognition,N/A,2013,https://doi.org/10.1016/j.nlm.2013.07.013,no,10.1016/j.nlm.2013.07.013,40,2,undetermined
The importance of the context in the hippocampus and brain related areas throughout the performance of a fear conditioning task,"ABSTRACTThe importance context has been broadly studied in the management of phobias and in the drug addiction literature. The way in which changes to a context influence behavior after the simple acquisition of a passive avoidance task remains unclear. The hippocampus has long been implicated in the contextual and spatial processing required for contextual fear, but its role in encoding the aversive component of a contextual fear memory is still inconclusive. Our work tries to elucidate whether a change in context, represented as differences in the load of the stimuli, is critical for learning about the context‐shock association and whether this manipulation of the context could be linked to any change in metabolic brain activity requirements. For this purpose, we used an avoidance conditioning task. Animals were divided into three different experimental conditions. In one group, acquisition was performed in an enriched stimuli environment and retention was performed in a typically lit chamber (the PA‐ACQ‐CONTX group). In another group, acquisition was performed in the typically lit chamber and retention was undertaken in the highly enriched chamber (the PA‐RET‐CONTX group). Finally, for the control group, PA‐CN‐CONTX, acquisition, and retention were performed in the enriched stimuli environment. Our results showed that the PA‐ACQ‐CONTX group had longer escape latencies and poorer retention than the PA‐RET‐CONTX and PA‐CN‐CONTX groups after 24 h of acquisition under contextual changes. To study metabolic brain activity, histochemical labelling of cytochrome c‐oxidase (CO) was performed. CO results suggested a neural circuit including the hippocampus, amygdala, thalamus, parahippocampal cortices, and mammillary nuclei that is involved in the learning and memory processes that enable context‐dependent behavior. These results highlight how dysfunction in this network may be involved in the contextualization of fear associations that underlie several forms of psychopathology, including post‐traumatic stress disorder, schizophrenia, and substance abuse disorders. © 2015 Wiley Periodicals, Inc.",2015,https://doi.org/10.1002/hipo.22430,no,10.1002/hipo.22430,17,3,undetermined
Early-life sugar consumption has long-term negative effects on memory function in male rats,N/A,2019,https://doi.org/10.1080/1028415x.2017.1378851,no,10.1080/1028415x.2017.1378851,61,4,undetermined
Long-term effects of neonatal exposure to MK-801 on recognition memory and excitatory–inhibitory balance in rat hippocampus,N/A,2015,https://doi.org/10.1016/j.neuroscience.2015.09.003,no,10.1016/j.neuroscience.2015.09.003,34,6,undetermined
Lateral entorhinal cortex is critical for novel object‐context recognition,"AbstractEpisodic memory incorporates information about specific events or occasions including spatial locations and the contextual features of the environment in which the event took place. It has been modeled in rats using spontaneous exploration of novel configurations of objects, their locations, and the contexts in which they are presented. While we have a detailed understanding of how spatial location is processed in the brain relatively little is known about where the nonspatial contextual components of episodic memory are processed. Initial experiments measured c‐fos expression during an object‐context recognition (OCR) task to examine which networks within the brain process contextual features of an event. Increased c‐fos expression was found in the lateral entorhinal cortex (LEC; a major hippocampal afferent) during OCR relative to control conditions. In a subsequent experiment it was demonstrated that rats with lesions of LEC were unable to recognize object‐context associations yet showed normal object recognition and normal context recognition. These data suggest that contextual features of the environment are integrated with object identity in LEC and demonstrate that recognition of such object‐context associations requires the LEC. This is consistent with the suggestion that contextual features of an event are processed in LEC and that this information is combined with spatial information from medial entorhinal cortex to form episodic memory in the hippocampus. © 2013 Wiley Periodicals, Inc.",2013,https://doi.org/10.1002/hipo.22095,no,10.1002/hipo.22095,216,6,undetermined
Noradrenergic activation of the basolateral amygdala modulates the consolidation of object-in-context recognition memory,N/A,2014,https://doi.org/10.3389/fnbeh.2014.00160,no,10.3389/fnbeh.2014.00160,66,3,undetermined
"Associative recognition and the hippocampus: Differential effects of hippocampal lesions on object‐place, object‐context and object‐place‐context memory","AbstractThe hippocampus is thought to be required for the associative recognition of objects together with the spatial or temporal contexts in which they occur. However, recent data showing that rats with fornix lesions perform as well as controls in an object‐place task, while being impaired on an object‐place‐context task (Eacott and Norman (2004) J Neurosci 24:1948–1953), suggest that not all forms of context‐dependent associative recognition depend on the integrity of the hippocampus. To examine the role of the hippocampus in context‐dependent recognition directly, the present study tested the effects of large, selective, bilateral hippocampus lesions in rats on performance of a series of spontaneous recognition memory tasks: object recognition, object‐place recognition, object‐context recognition and object‐place‐context recognition. Consistent with the effects of fornix lesions, animals with hippocampus lesions were impaired only on the object‐place‐context task. These data confirm that not all forms of context‐dependent associative recognition are mediated by the hippocampus. Subsequent experiments suggested that the object‐place task does not require an allocentric representation of space, which could account for the lack of impairment following hippocampus lesions. Importantly, as the object‐place‐context task has similar spatial requirements, the selective deficit in object‐place‐context recognition suggests that this task requires hippocampus‐dependent neural processes distinct from those required for allocentric spatial memory, or for object memory, object‐place memory or object‐context memory. Two possibilities are that object, place, and context information converge only in the hippocampus, or that recognition of integrated object‐place‐context information requires a hippocampus‐dependent mode of retrieval, such as recollection. © 2009 Wiley‐Liss, Inc.",2010,https://doi.org/10.1002/hipo.20714,no,10.1002/hipo.20714,200,2,undetermined
Episodic-like memory: New perspectives from a behavioral test in rats,N/A,2012,https://doi.org/10.1142/s021963521250001x,no,10.1142/s021963521250001x,4,3,undetermined
"Diet, age, and prior injury status differentially alter behavioral outcomes following concussion in rats",N/A,2015,https://doi.org/10.1016/j.nbd.2014.09.003,no,10.1016/j.nbd.2014.09.003,35,4,undetermined
Role of Medial Prefrontal Cortex Serotonin 2A Receptors in the Control of Retrieval of Recognition Memory in Rats,"Often, retrieval cues are not uniquely related to one specific memory, which could lead to memory interference. Controlling interference is particularly important during episodic memory retrieval or when remembering specific events in a spatiotemporal context. Despite a clear involvement of prefrontal cortex (PFC) in episodic memory in human studies, information regarding the mechanisms and neurotransmitter systems in PFC involved in memory is scarce. Although the serotoninergic system has been linked to PFC functionality and modulation, its role in memory processing is poorly understood. We hypothesized that the serotoninergic system in PFC, in particular the 5-HT2A receptor (5-HT2AR) could have a role in the control of memory retrieval. In this work we used different versions of the object recognition task in rats to study the role of the serotoninergic modulation in the medial PFC (mPFC) in memory retrieval. We found that blockade of 5-HT2AR in mPFC affects retrieval of an object in context memory in a spontaneous novelty preference task, while sparing single-item recognition memory. We also determined that 5-HT2ARs in mPFC are required for hippocampal–mPFC interaction during retrieval of this type of memory, suggesting that the mPFC controls the expression of memory traces stored in the hippocampus biasing retrieval to the most relevant one.",2013,https://doi.org/10.1523/jneurosci.2087-13.2013,no,10.1523/jneurosci.2087-13.2013,63,4,undetermined
Phencyclidine withdrawal disrupts episodic-like memory in rats: reversal by donepezil but not clozapine,N/A,2010,https://doi.org/10.1017/s1461145710000234,no,10.1017/s1461145710000234,16,3,undetermined
Extending the spontaneous preference test of recognition: evidence of object-location and object-context recognition,N/A,1999,https://doi.org/10.1016/s0166-4328(98)00079-5,no,10.1016/s0166-4328(98)00079-5,498,2,undetermined
Pterostilbene Improves Cognitive Performance in Aged Rats: An in Vivo Study,N/A,2019,https://doi.org/10.33594/000000017,no,10.33594/000000017,24,0,undetermined
"Importance of the brain corticosteroid receptor balance in metaplasticity, cognitive performance and neuro-inflammation",N/A,2018,https://doi.org/10.1016/j.yfrne.2018.02.003,no,10.1016/j.yfrne.2018.02.003,208,5,undetermined
The consolidation of object and context recognition memory involve different regions of the temporal lobe,"These experiments investigated the involvement of several temporal lobe regions in consolidation of recognition memory. Anisomycin, a protein synthesis inhibitor, was infused into the hippocampus, perirhinal cortex, insular cortex, or basolateral amygdala of rats immediately after the sample phase of object or object-in-context recognition memory training. Anisomycin infused into perirhinal or insular cortices blocked long-term (24 h), but not short-term (90 min) object recognition memory. Infusions into the hippocampus or amygdala did not impair object recognition memory. Anisomycin infused into the hippocampus blocked long-term, but not short-term object-in-context recognition memory, whereas infusions administered into the perirhinal cortex, insular cortex, or amygdala did not affect object-in-context recognition memory. These results clearly indicate that distinct regions of the temporal lobe are differentially involved in long-term object and object-in-context recognition memory. Whereas perirhinal and insular cortices are required for consolidation of familiar objects, the hippocampus is necessary for consolidation of contextual information of recognition memory. Altogether, these results suggest that temporal lobe structures are differentially involved in recognition memory consolidation.",2008,https://doi.org/10.1101/lm.1028008,no,10.1101/lm.1028008,188,6,undetermined
A new behavioural apparatus to reduce animal numbers in multiple types of spontaneous object recognition paradigms in rats,N/A,2012,https://doi.org/10.1016/j.jneumeth.2012.08.006,no,10.1016/j.jneumeth.2012.08.006,34,3,undetermined
Female rats are more vulnerable to lasting cognitive impairment after isoflurane exposure on postnatal day 4 than 7,N/A,2019,https://doi.org/10.1016/j.bja.2018.12.008,no,10.1016/j.bja.2018.12.008,33,5,undetermined
Auditory-cued sensorimotor task reveals disengagement deficits in rats exposed to the autism-associated teratogen valproic acid,N/A,2014,https://doi.org/10.1016/j.neuroscience.2014.02.049,no,10.1016/j.neuroscience.2014.02.049,9,8,undetermined
Multiple effects of circadian dysfunction induced by photoperiod shifts: Alterations in context memory and food metabolism in the same subjects,N/A,2013,https://doi.org/10.1016/j.physbeh.2013.04.010,no,10.1016/j.physbeh.2013.04.010,30,6,undetermined
A comparison of the effects of temporary hippocampal lesions on single and dual context versions of the olfactory sequence memory task.,N/A,2012,https://doi.org/10.1037/a0028824,no,10.1037/a0028824,5,2,undetermined
Fear-context association during memory retrieval requires input from granular to dysgranular retrosplenial cortex,N/A,2019,https://doi.org/10.1016/j.nlm.2019.107036,no,10.1016/j.nlm.2019.107036,13,4,undetermined
Lesions of the medial or lateral perforant path have different effects on hippocampal contributions to place learning and on fear conditioning to context,N/A,1999,https://doi.org/10.1016/s0166-4328(98)00144-2,no,10.1016/s0166-4328(98)00144-2,78,3,undetermined
Object/context-specific memory deficits associated with loss of hippocampal granule cells after adrenalectomy in rats,"Chronic adrenalectomy (ADX) causes a gradual and selective loss of granule cells in the dentate gyrus (DG) of the rat. Here, we administered replacement corticosterone to rats beginning 10 wk after ADX. We then tested them in three discrimination tasks based on object novelty, location, or object/context association. Only during testing of the object/context association did ADX rats demonstrate deficits. These findings add to a body of evidence that the hippocampus is necessary when contextual information is important. We also confirm that memory deficits after chronic adrenalectomy are not a result of loss of corticosterone per se.",2010,https://doi.org/10.1101/lm.1746710,no,10.1101/lm.1746710,69,2,undetermined
"TEMPORAL CONTEXT, PREFERENCE, AND RESISTANCE TO CHANGE","According to behavioral momentum theory, preference and relative resistance to change in concurrent‐chains schedules are correlated and reflect the relative conditioned value of discriminative stimuli. In the present study, we explore the generality of this relation by manipulating the temporal context within a concurrent‐chains procedure through changes in the duration of the initial links. Consistent with previous findings, preference for a richer terminal link was less extreme with longer initial links across three experiments with pigeons. In Experiment 1, relative resistance to change and preference were related inversely when responding was disrupted with response‐independent food presentations during initial links, replicating a previous finding with rats. However, more food was presented with longer initial links, confounding the disrupter and initial‐link duration. In Experiment 2, presession feeding was used instead and eliminated the negative relation between relative resistance to change and preference, but relative resistance to change was not sensitive to relative terminal‐link reinforcement rates. In Experiment 3, with more extreme relative terminal‐link reinforcement rates, increasing initial‐link duration similarly decreased preference and relative resistance to change for the richer terminal link. Thus, when conditions of disruption are equal and assessed under the appropriate reinforcement conditions, changes in temporal context impact relative resistance to change and preference similarly.",2011,https://doi.org/10.1901/jeab.2011.96-191,no,10.1901/jeab.2011.96-191,4,4,undetermined
Music-induced context preference following cocaine conditioning in rats.,N/A,2011,https://doi.org/10.1037/a0024341,no,10.1037/a0024341,9,2,undetermined
A Key Role for Nectin-1 in the Ventral Hippocampus in Contextual Fear Memory,N/A,2013,https://doi.org/10.1371/journal.pone.0056897,no,10.1371/journal.pone.0056897,19,5,undetermined
"Sustained correction of associative learning deficits after brief, early treatment in a rat model of Fragile X Syndrome","Brief, early treatments with lovastatin provide long-lasting rescue of associative memory deficits in a rat model of Fragile X.",2019,https://doi.org/10.1126/scitranslmed.aao0498,no,10.1126/scitranslmed.aao0498,77,13,undetermined
"Prefrontal cortical contributions during discriminative fear conditioning, extinction, and spontaneous recovery in rats",N/A,2010,https://doi.org/10.1007/s00221-010-2228-0,no,10.1007/s00221-010-2228-0,56,5,undetermined
Contextual control of the extinction of conditioned fear: Tests for the associative value of the context.,N/A,1983,https://doi.org/10.1037/0097-7403.9.3.248,no,10.1037/0097-7403.9.3.248,424,2,undetermined
"Maternal stress during pregnancy causes sex-specific alterations in offspring memory performance, social interactions, indices of anxiety, and body mass",N/A,2011,https://doi.org/10.1016/j.physbeh.2011.02.021,no,10.1016/j.physbeh.2011.02.021,99,7,undetermined
"Comorbid Aβ toxicity and stroke: hippocampal atrophy, pathology, and cognitive deficit",N/A,2014,https://doi.org/10.1016/j.neurobiolaging.2014.01.005,no,10.1016/j.neurobiolaging.2014.01.005,44,13,undetermined
Lack of Age Differences in Context-Illness Associations in the Long-Delay Taste-Aversion Conditioning of Rats,"To evaluate whether previously observed age differences in long-delay taste aversion were due to age-related differences in the shared association of contextual cues and CS with the US, weanling, young-adult, and old-adult rats were given a NaCl or LiCl US immediately after or a LiCl US 3 hr. after a saccharin CS presentation in a black or white context. They were then given a context-preference test in a chamber which was half black and half white. Analysis showed rats, irrespective of age or conditioning context, spent a significantly smaller percentage of time on the white side than on the black side of the test chamber. These results suggest that age differences in long-delay taste-aversion conditioning are not due to age-related differences in the shared association of contextual cues and CS with the US.",1995,https://doi.org/10.2466/pms.1995.80.2.595,no,10.2466/pms.1995.80.2.595,7,2,undetermined
"Part III: Principal component analysis: bridging the gap between strain, sex and drug effects",N/A,2015,https://doi.org/10.1016/j.bbr.2015.03.027,no,10.1016/j.bbr.2015.03.027,7,2,undetermined
Cannabimimetic Properties of Ajulemic Acid,N/A,2007,https://doi.org/10.1124/jpet.106.111625,no,10.1124/jpet.106.111625,29,4,undetermined
Context conditioning: Positive reinforcing effects of various food-related stimuli,N/A,1993,https://doi.org/10.1016/0031-9384(93)90385-s,no,10.1016/0031-9384(93)90385-s,9,2,undetermined
Cholinergic Blockade Frees Fear Extinction from Its Contextual Dependency,N/A,2013,https://doi.org/10.1016/j.biopsych.2012.08.006,no,10.1016/j.biopsych.2012.08.006,64,7,undetermined
"Persisting cognitive deficits induced by low-dose, subchronic treatment with MK-801 in adolescent rats",N/A,2011,https://doi.org/10.1016/j.ejphar.2010.10.074,no,10.1016/j.ejphar.2010.10.074,50,7,undetermined
Dissociable Effects of Lesions to the Perirhinal Cortex and the Postrhinal Cortex on Memory for Context and Objects in Rats.,N/A,2005,https://doi.org/10.1037/0735-7044.119.2.557,no,10.1037/0735-7044.119.2.557,172,2,undetermined
"Infant rats can acquire, but not retain contextual associations in object‐in‐context and contextual fear conditioning paradigms","AbstractContext learning in postnatal day (PD) 16–18 rats has been taken by Revillo, Cotella, Paglini, and Arias (2015, Physiology &amp; Behavior, 148, 6–21) to challenge the view that the ontogeny of contextual learning is related to the development of the hippocampal system (Rudy, 1993, Behavioral Neuroscience, 107(5), 887–891; Schiffino, Murawski, Rosen, &amp; Stanton, 2011 Neurobiology of Learning and Memory, 95(2), 190–198). Whether context learning is “incidental” or “reinforcement‐driven” may determine the ontogeny and neural systems involved (Rudy, 2009, Learning &amp; Memory (Cold Spring Harbor, N.Y.), 16, 573–585). However, we have shown differential ontogeny of two different forms of incidental context learning, the context pre‐exposure facilitation effect (CPFE; Jablonski, Schiffino, &amp; Stanton, 2012, Developmental Psychobiology, 54(7), 714–722), which emerges between PD 17 and 21; and object‐in‐context recognition (OiC, Ramsaran, Westbrook, &amp; Stanton, 2016, Developmental Psychobiology, 58(7), 883–895; Ramsaran, Sanders, &amp; Stanton, 2016, Behavioural Brain Research, 298, 37–47), which is present on PD17. We investigated whether this task‐dissociation reflects an encoding or a retention deficit, by varying the sample‐to‐testing intervals for both tasks. Experiment 1A found that PD17 rats were able to perform the OiC task after short (5 min) but not long (24 hr) sample‐to‐test intervals. Experiments 1B and 1C found that PD17 rats trained on the CPFE are able to acquire and express context‐shock associations after short but not long retention intervals. These findings suggest that pre‐weanling rats encode contexts but show poor consolidation or retrieval after longer retention intervals.",2020,https://doi.org/10.1002/dev.21980,no,10.1002/dev.21980,4,3,undetermined
Object and place information processing by CA1 hippocampal neurons of C57BL/6J mice,"Medial and lateral entorhinal cortices convey spatial/contextual and item/object information to the hippocampus, respectively. Whether the distinct inputs are integrated as one cognitive map by hippocampal neurons to represent location and the objects therein, or whether they remain as parallel outputs, to be integrated in a downstream region, remains unclear. Principal, or complex spike bursting, neurons of hippocampus exhibit location-specific firing, and it is likely that the activity of “place cells” supports spatial memory/navigation in rodents. Consistent with cognitive map theory, the activity of CA1 hippocampal neurons is also critical for nonspatial memory, such as object recognition. However, the degree to which CA1 neuronal activity represents the associations of object-context or object-in-place memory is not well understood. Here, the contributions of mouse CA1 neuronal activity to object recognition memory and the emergence of object-place conjunctive representations were tested using in vivo recordings and functional inactivation. Independent of arena configuration, CA1 place fields were stable throughout testing and object-place representations were not identified in CA1, although the number of fields per cell increased during object sessions, and few object-related firing CA1 neurons (nonplace) were recorded. The results of the inactivation studies confirmed the significant contribution of CA1 neuronal activity to object recognition memory when a delay of 20 min, but not 5 min, was imposed between encoding and retrieval. Together, our results confirm the delay-dependent contribution of the CA1 region to object memory and suggest that object information is processed in parallel with the ongoing spatial mapping function that is a hallmark of hippocampal memory.  NEW &amp; NOTEWORTHY We developed variations of the object recognition task to examine the contribution of mouse CA1 neuronal activity to object memory and the degree to which object-context conjunctive representations are formed during object training. Our results indicate that, within the CA1 region, object information is processed in a parallel but delay-dependent manner, with ongoing spatial mapping.",2020,https://doi.org/10.1152/jn.00278.2019,no,10.1152/jn.00278.2019,34,3,undetermined
Object recognition testing: Methodological considerations on exploration and discrimination measures,N/A,2012,https://doi.org/10.1016/j.bbr.2012.03.022,no,10.1016/j.bbr.2012.03.022,169,9,undetermined
Association rules for rat spatial learning: The importance of the hippocampus for binding item identity with item location,N/A,2013,https://doi.org/10.1002/hipo.22154,no,10.1002/hipo.22154,19,7,undetermined
"The hippocampus, prefrontal cortex, and perirhinal cortex are critical to incidental order memory",N/A,2020,https://doi.org/10.1016/j.bbr.2019.112215,no,10.1016/j.bbr.2019.112215,29,5,undetermined
A Sequence of events model of episodic memory shows parallels in rats and humans,"ABSTRACTA critical feature of episodic memory is the ability to remember the order of events as they occurred in time, a capacity shared across species including humans, nonhuman primates, and rodents. Accumulating evidence suggests that this capacity depends on a network of structures including the hippocampus and the prefrontal cortex, but their respective contributions remain poorly understood. As addressing this important issue will require converging evidence from complementary investigative techniques, we developed a cross‐species, nonspatial sequence memory task suitable for behavioral and neurophysiological studies in rodents and in humans. The task involves the repeated presentation of sequences of items (odors in rats and images in humans) and requires subjects to make a judgment as to whether each item is presented “in sequence” or “out of sequence.” To shed light on the cognitive processes and sequence representations supporting performance, different types of “out of sequence” probe trials were used including: (i) repeating an item from earlier in the sequence (Repeats; e.g., ABAD), (ii) skipping ahead in the sequence (Skips; e.g., ABD), and (iii) inserting an item from a different sequence into the same ordinal position (Ordinal Transfers; e.g., A2CD). We found a remarkable similarity in the performance of rats and humans, particularly in the pattern of results across probe trial types. Thus, the results suggest that rats and humans not only remember the sequences of events, but also use similar underlying cognitive processes and mnemonic representations. This strong cross‐species correspondence validates this task for use in future basic and clinical interdisciplinary studies aimed at examining the neural mechanisms underlying episodic memory. © 2014 Wiley Periodicals, Inc.",2014,https://doi.org/10.1002/hipo.22301,no,10.1002/hipo.22301,57,5,undetermined
